"","norms","count","words","length"
"1","aaaabchiimnoprrst",2,"basiparachromatin",17
"2","aaaabchiimnoprrst",2,"marsipobranchiata",17
"3","aaaaccghiillmnooooptt",2,"anatomicopathological",21
"4","aaaaccghiillmnooooptt",2,"pathologicoanatomical",21
"5","aaaacdiillprsy",2,"paradisaically",14
"6","aaaacdiillprsy",2,"paradisiacally",14
"7","aaaacgnr",2,"aracanga",8
"8","aaaacgnr",2,"caragana",8
"9","aaaacmnt",2,"atacaman",8
"10","aaaacmnt",2,"tamanaca",8
"11","aaaacnr",2,"anacara",7
"12","aaaacnr",2,"aracana",7
"16","aaaallnopst",2,"nasopalatal",11
"17","aaaallnopst",2,"palatonasal",11
"18","aaaanrrtt",2,"tantarara",9
"19","aaaanrrtt",2,"tarantara",9
"20","aaabbcceemo",2,"bombacaceae",11
"21","aaabbcceemo",2,"cabombaceae",11
"22","aaabbrr",2,"barabra",7
"23","aaabbrr",2,"barbara",7
"24","aaabccfhiilor",2,"brachiofacial",13
"25","aaabccfhiilor",2,"faciobrachial",13
"26","aaabceltt",2,"ablactate",9
"27","aaabceltt",2,"cabaletta",9
"28","aaabchinrt",2,"batrachian",10
"29","aaabchinrt",2,"branchiata",10
"30","aaabchirt",2,"batrachia",9
"31","aaabchirt",2,"brachiata",9
"32","aaabcl",2,"cabala",6
"33","aaabcl",2,"calaba",6
"37","aaabcnrr",2,"barracan",8
"38","aaabcnrr",2,"barranca",8
"42","aaabdgiilmnnoov",2,"abdominovaginal",15
"43","aaabdgiilmnnoov",2,"vaginoabdominal",15
"44","aaabegghilllnoooprssy",2,"glossolabiopharyngeal",21
"45","aaabegghilllnoooprssy",2,"labioglossopharyngeal",21
"46","aaabeggillllnooorssy",2,"glossolabiolaryngeal",20
"47","aaabeggillllnooorssy",2,"labioglossolaryngeal",20
"48","aaabeilpprs",2,"appraisable",11
"49","aaabeilpprs",2,"parablepsia",11
"50","aaabellmr",2,"alarmable",9
"51","aaabellmr",2,"ambarella",9
"52","aaabgln",2,"balagan",7
"53","aaabgln",2,"bangala",7
"54","aaabglny",2,"balangay",8
"55","aaabglny",2,"bangalay",8
"56","aaabhlt",2,"baalath",7
"57","aaabhlt",2,"bathala",7
"58","aaabillnos",2,"labionasal",10
"59","aaabillnos",2,"nasolabial",10
"60","aaabilnss",2,"basinasal",9
"61","aaabilnss",2,"bassalian",9
"62","aaabknt",2,"bakatan",7
"63","aaabknt",2,"batakan",7
"67","aaabrsx",2,"abrasax",7
"68","aaabrsx",2,"abraxas",7
"69","aaabrt",2,"artaba",6
"70","aaabrt",2,"batara",6
"71","aaaccceet",2,"cactaceae",9
"72","aaaccceet",2,"taccaceae",9
"73","aaacccimnoorrs",2,"carcinosarcoma",14
"74","aaacccimnoorrs",2,"sarcocarcinoma",14
"75","aaacceeer",2,"aceraceae",9
"76","aaacceeer",2,"arecaceae",9
"77","aaaccghiilmnooooptt",2,"anatomicopathologic",19
"78","aaaccghiilmnooooptt",2,"pathologicoanatomic",19
"79","aaacchiilnrstt",2,"antarchistical",14
"80","aaacchiilnrstt",2,"charlatanistic",14
"81","aaaccm",2,"camaca",6
"82","aaaccm",2,"macaca",6
"83","aaacdeeinot",2,"actaeonidae",11
"84","aaacdeeinot",2,"donatiaceae",11
"85","aaacdehinrt",2,"acidanthera",11
"86","aaacdehinrt",2,"cantharidae",11
"87","aaacdeillnr",2,"calendarial",11
"88","aaacdeillnr",2,"dalecarlian",11
"89","aaacdeilnnr",2,"calandrinae",11
"90","aaacdeilnnr",2,"calendarian",11
"91","aaacdellortu",2,"caudolateral",12
"92","aaacdellortu",2,"laterocaudal",12
"93","aaacdemnoors",2,"adenosarcoma",12
"94","aaacdemnoors",2,"sarcoadenoma",12
"95","aaacdetu",2,"acaudate",8
"96","aaacdetu",2,"ecaudata",8
"97","aaacdghiiooprrtu",2,"autoradiographic",16
"98","aaacdghiiooprrtu",2,"radioautographic",16
"99","aaacdiiprs",2,"paradisaic",10
"100","aaacdiiprs",2,"paradisiac",10
